City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description,Date
190,Cockburn Town,21.4612,-71.1419,83.91,70,62,5.44,TC,broken clouds,2022-10-04 22:54:45
191,Santa Maria,-29.6842,-53.8069,60.1,59,0,8.05,BR,clear sky,2022-10-04 22:52:29
192,Wanaka,-44.7,169.15,39.94,60,69,6.64,NZ,broken clouds,2022-10-04 22:53:04
193,Tuatapere,-46.1333,167.6833,37.72,86,99,20.09,NZ,light rain,2022-10-04 22:50:11
194,Marawi,7.9986,124.2928,71.37,90,65,1.68,PH,broken clouds,2022-10-04 22:54:46
195,Port Hedland,-20.3167,118.5667,68.05,100,3,0.0,AU,clear sky,2022-10-04 22:54:46
196,Yatou,37.15,122.3833,50.14,56,8,18.19,CN,clear sky,2022-10-04 22:54:46
197,Preobrazheniye,42.9019,133.9064,40.71,47,2,4.99,RU,clear sky,2022-10-04 22:54:47
198,Khatanga,71.9667,102.5,25.56,97,100,4.54,RU,light snow,2022-10-04 22:54:47
199,Provideniya,64.3833,-173.3,41.36,65,75,4.47,RU,broken clouds,2022-10-04 22:54:48
200,Bethel,41.3712,-73.414,54.45,86,100,10.36,US,overcast clouds,2022-10-04 22:52:33
201,Alice Springs,-23.7,133.8833,67.55,60,15,5.75,AU,few clouds,2022-10-04 22:54:48
202,Katsuura,35.1333,140.3,77.02,77,95,10.04,JP,light rain,2022-10-04 22:54:48
203,Kobayashi,31.9833,130.9833,74.7,92,84,4.65,JP,broken clouds,2022-10-04 22:54:49
204,Shagonar,51.5333,92.8,29.82,63,0,1.34,RU,clear sky,2022-10-04 22:54:49
205,Berlevag,70.8578,29.0864,42.8,81,100,8.05,NO,overcast clouds,2022-10-04 22:54:49
206,Pyshchug,58.8873,45.7134,44.71,82,88,7.7,RU,overcast clouds,2022-10-04 22:54:50
207,Dharmapuri,12.1333,78.1667,74.34,70,98,2.75,IN,overcast clouds,2022-10-04 22:54:50
208,El Alto,-4.2714,-81.2147,65.86,80,66,23.44,PE,broken clouds,2022-10-04 22:54:51
209,Klaksvik,62.2266,-6.589,47.32,78,2,39.06,FO,clear sky,2022-10-04 22:54:51
210,Chapais,49.7834,-74.8492,49.78,99,100,3.27,CA,overcast clouds,2022-10-04 22:54:52
211,Chokwe,-24.5333,32.9833,72.5,78,99,9.22,MZ,overcast clouds,2022-10-04 22:54:52
212,Ruidoso,33.3317,-105.673,68.14,56,79,8.05,US,broken clouds,2022-10-04 22:54:52
213,Lata,40.1629,-8.3327,59.92,68,0,1.74,PT,clear sky,2022-10-04 22:54:53
214,Kerema,-7.9631,145.7785,83.14,78,100,6.24,PG,overcast clouds,2022-10-04 22:54:53
215,Tura,25.5198,90.2201,71.15,90,81,1.72,IN,broken clouds,2022-10-04 22:54:54
216,Hofn,64.2539,-15.2082,45.59,86,100,5.41,IS,overcast clouds,2022-10-04 22:54:54
217,Sitka,57.0531,-135.33,61.92,49,100,6.53,US,overcast clouds,2022-10-04 22:54:54
218,Hovd,48.0056,91.6419,26.26,35,16,1.19,MN,few clouds,2022-10-04 22:54:55
219,Huarmey,-10.0681,-78.1522,63.41,78,22,10.85,PE,few clouds,2022-10-04 22:54:55
220,Lorengau,-2.0226,147.2712,83.14,79,83,10.87,PG,broken clouds,2022-10-04 22:54:56
221,San Carlos De Bariloche,-41.1456,-71.3082,47.95,66,40,16.11,AR,scattered clouds,2022-10-04 22:53:27
222,Namatanai,-3.6667,152.4333,83.64,71,99,12.35,PG,overcast clouds,2022-10-04 22:54:56
223,Leningradskiy,69.3833,178.4167,23.67,86,81,5.44,RU,broken clouds,2022-10-04 22:54:56
224,Bandarbeyla,9.4942,50.8122,76.6,87,86,18.57,SO,overcast clouds,2022-10-04 22:54:57
225,Kahului,20.8947,-156.47,84.22,75,40,19.57,US,scattered clouds,2022-10-04 22:52:50
226,Vryheid,-27.7695,30.7917,57.33,91,100,5.86,ZA,overcast clouds,2022-10-04 22:54:57
227,Palmer,42.1584,-72.3287,57.24,79,100,12.66,US,overcast clouds,2022-10-04 22:54:58
228,Shu,43.5983,73.7614,50.97,45,1,7.05,KZ,clear sky,2022-10-04 22:54:59
229,Alma,48.5501,-71.6491,60.01,67,91,1.14,CA,overcast clouds,2022-10-04 22:54:59
230,Myitkyina,25.3833,97.4,73.08,100,100,1.12,MM,overcast clouds,2022-10-04 22:55:00
231,Broken Hill,-31.95,141.4333,70.2,64,23,18.25,AU,few clouds,2022-10-04 22:55:00
232,Rancho Palos Verdes,33.7445,-118.387,88.05,76,0,12.66,US,clear sky,2022-10-04 22:55:00
233,Ust-Maya,60.4167,134.5333,23.68,69,98,9.51,RU,overcast clouds,2022-10-04 22:55:01
234,Galle,6.0367,80.217,77.86,88,100,12.1,LK,overcast clouds,2022-10-04 22:55:01
235,Ghanzi,-21.5667,21.7833,76.39,14,0,7.25,BW,clear sky,2022-10-04 22:55:02
236,Saint-Francois,46.4154,3.9054,48.67,100,100,2.3,FR,fog,2022-10-04 22:55:02
237,Poso,-1.3959,120.7524,78.53,78,100,3.22,ID,overcast clouds,2022-10-04 22:55:03
