City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
605,San Francisco,US,85.75,few clouds,37.7749,-122.4194,Edwardian Hotel
609,Natal,BR,80.82,clear sky,-5.795,-35.2094,Villa Park Hotel | Natal
610,Hasaki,JP,75.6,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
613,Eydhafushi,MV,81.61,overcast clouds,5.1033,73.0708,Soneva Fushi
615,Puerto Leguizamo,CO,80.67,overcast clouds,-0.1934,-74.7819,la casona de juancho
616,Felipe Carrillo Puerto,MX,81.79,broken clouds,19.5833,-88.05,Hotel La Ceiba
621,Eyl,SO,76.98,overcast clouds,7.9803,49.8164,EYL AQUE SYSTEM
622,Gondanglegi,ID,75.87,overcast clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
623,Searcy,US,78.12,clear sky,35.2506,-91.7363,"Holiday Inn Express & Suites Searcy, an IHG Hotel"
625,Manicore,BR,87.75,clear sky,-5.8092,-61.3003,Hotel Durval
627,Takoradi,GH,75.45,overcast clouds,4.8845,-1.7554,Raybow International Hotel
630,Voh,NC,77.58,clear sky,-20.9667,164.7,Le gîte du Koniambo
635,Mae Sot,TH,76.42,few clouds,16.7167,98.5667,Suan Darb Porn Resort (บ้านสวนดาบพรรีสอร์ท)
639,Biltine,TD,85.46,few clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
647,Le Vauclin,MQ,80.85,broken clouds,14.5452,-60.8388,Hôtel Cap Macabou
658,Haimen,CN,78.69,scattered clouds,23.1935,116.6142,Shantou Chaoyang Donghui Hotel
659,Maiduguri,NG,78.6,overcast clouds,11.8464,13.1603,Kagel Mari Police Station
662,Winnemucca,US,80.65,clear sky,40.973,-117.7357,Winners Inn Casino
663,Batie,BF,77.25,overcast clouds,9.8833,-2.9167,Auberge SONDAR AFACI
664,Palauig,PH,81.75,overcast clouds,15.435,119.9045,Villa Raphael Resort
665,Iberia,US,80.58,overcast clouds,29.9502,-91.7507,back to back rv park
667,Asyut,EG,75.38,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
668,Deoli,IN,78.98,broken clouds,25.75,75.3833,HOTEL DWARKA PALACE
676,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
678,Mandiana,GN,77.77,light rain,10.6333,-8.6833,Centre d'accueil de Mandiana
681,Porto Velho,BR,80.65,clear sky,-8.7619,-63.9039,Ecos Hotel Conforto
682,Sakassou,CI,78.64,light rain,7.4546,-5.2926,Parents de Damienne
684,Hope,US,82.08,clear sky,33.6671,-93.5916,Best Western Hope
687,Amahai,ID,80.08,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
694,Dabhol,IN,76.01,overcast clouds,17.6,73.1667,Ashwamedh Resort
695,Kailua,US,86.02,moderate rain,21.4022,-157.7394,Sheffield House Bed & Breakfast
